type,difficulty,question,pairs__concept,pairs__theory,pairs__proponent,pairs__genre,pairs__description,pairs__author,pairs__work,pairs__instrument,pairs__category,pairs__philosopher,pairs__idea,pairs__sport,pairs__surface,pairs__equipment,pairs__invention,pairs__inventor,pairs__event,pairs__date,pairs__president,pairs__color,pairs__code,pairs__language,pairs__founder,pairs__country,pairs__capital,options__001,options__002,options__003,options__004,answer
Guess the Output (C),Hard,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int x = 10;\n    int *ptr = &x;\n    *ptr += 5;\n    printf(""%d\n"", *ptr);\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Guess the Output (Python),Tricky,"What will be printed by the following Python code?\n\nx = [1, 2, 3]\ny = x\ny.append(4)\nprint(x)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 2, 3, 4]"
Guess the Output (Java),Hard,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        String s1 = ""Hello"";\n        String s2 = new String(s1);\n        System.out.println(s1 == s2);\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Guess the Output (JavaScript),Tricky,"What will be printed by the following JavaScript code?\n\nfunction test(x, y = x) {\n    return y;\n}\nconsole.log(test(5));",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Guess the Output (C),Hard,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    char str[] = ""Hello"";\n    char *ptr = str;\n    *ptr = 'X';\n    printf(""%s\n"", str);\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xello
Guess the Output (Python),Tricky,"What will be printed by the following Python code?\n\nx = 5\ny = 10\nx, y = y, x\nprint(x, y)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 5
Guess the Output (Java),Hard,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        String s1 = ""Hello"";\n        String s2 = s1;\n        System.out.println(s1.equals(s2));\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Guess the Output (JavaScript),Tricky,What will be printed by the following JavaScript code?\n\nconst x = { value: 10 };\nconst y = x;\nx.value = 20;\nconsole.log(y.value);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Guess the Output (C),Challenging,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int a = 5;\n    int b = 10;\n    int c = (a++) + (++b);\n    printf(""%d\n"", c);\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Guess the Output (Python),Complex,What will be printed by the following Python code?\n\nx = 5\ny = lambda x: x + 5\nprint(y(x)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Guess the Output (Java),Challenging,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        String s1 = new String(""Hello"");\n        String s2 = new String(""Hello"");\n        System.out.println(s1 == s2);\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Guess the Output (JavaScript),Complex,What will be printed by the following JavaScript code?\n\nfunction test(x) {\n    if (x === 1) {\n        return 1;\n    } else {\n        return x * test(x - 1);\n    }\n}\nconsole.log(test(5));,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
Guess the Output (C),Challenging,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int arr[5] = {1, 2, 3, 4, 5};\n    int *ptr = arr;\n    printf(""%d\n"", *(ptr + 3));\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Guess the Output (Python),Complex,"What will be printed by the following Python code?\n\nx = [1, 2, 3]\ny = x\ny += [4]\nprint(x)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 2, 3, 4]"
Guess the Output (Java),Challenging,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        String s1 = ""Hello"";\n        String s2 = s1.intern();\n        System.out.println(s1 == s2);\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Guess the Output (JavaScript),Complex,"What will be printed by the following JavaScript code?\n\nconst arr = [1, 2, 3, 4, 5];\nconst sum = arr.reduce((acc, val) => acc + val, 0);\nconsole.log(sum);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Guess the Output (C),Easy,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    printf(""Hello, World!\n"");\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, World!"
Guess the Output (Python),Easy,What will be printed by the following Python code?\n\nx = 10\ny = 5\nprint(x + y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Guess the Output (Java),Easy,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        System.out.println(""Java Programming"");\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Java Programming
Guess the Output (JavaScript),Easy,"What will be printed by the following JavaScript code?\n\nconsole.log(""Hello, JavaScript!"");",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, JavaScript!"
Guess the Output (C),Easy,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int x = 5;\n    printf(""%d\n"", x);\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Guess the Output (Python),Easy,"What will be printed by the following Python code?\n\nname = ""Alice""\nprint(""Hello, "" + name)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, Alice"
Guess the Output (Java),Easy,What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        int x = 10;\n        System.out.println(x);\n    }\n},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Guess the Output (JavaScript),Easy,What will be printed by the following JavaScript code?\n\nlet num = 20;\nconsole.log(num);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Guess the Output (C),Easy,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int x = 5;\n    printf(""%d\n"", x);\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Guess the Output (Python),Easy,"What will be printed by the following Python code?\n\nname = ""Alice""\nprint(""Hello, "" + name)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, Alice"
Guess the Output (Java),Easy,What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        int x = 10;\n        System.out.println(x);\n    }\n},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Guess the Output (JavaScript),Easy,What will be printed by the following JavaScript code?\n\nlet num = 20;\nconsole.log(num);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Guess the Output (C),Medium,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int a = 5;\n    int b = 10;\n    int c = (a++) + (++b);\n    printf(""%d\n"", c);\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Guess the Output (Python),Medium,What will be printed by the following Python code?\n\nx = 5\ny = lambda x: x + 5\nprint(y(x)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Guess the Output (Java),Medium,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        String s1 = new String(""Hello"");\n        String s2 = new String(""Hello"");\n        System.out.println(s1 == s2);\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
Guess the Output (JavaScript),Medium,What will be printed by the following JavaScript code?\n\nfunction test(x) {\n    if (x === 1) {\n        return 1;\n    } else {\n        return x * test(x - 1);\n    }\n}\nconsole.log(test(5));,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
Guess the Output (C),Hard,"What is the output of the following C code?\n\n#include <stdio.h>\nint main() {\n    int arr[5] = {1, 2, 3, 4, 5};\n    int *ptr = arr;\n    printf(""%d\n"", *(ptr + 3));\n    return 0;\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Guess the Output (Python),Hard,"What will be printed by the following Python code?\n\nx = [1, 2, 3]\ny = x\ny += [4]\nprint(x)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 2, 3, 4]"
Guess the Output (Java),Hard,"What is the output of the following Java code?\n\nclass Main {\n    public static void main(String[] args) {\n        String s1 = ""Hello"";\n        String s2 = s1.intern();\n        System.out.println(s1 == s2);\n    }\n}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Guess the Output (JavaScript),Hard,"What will be printed by the following JavaScript code?\n\nconst arr = [1, 2, 3, 4, 5];\nconst sum = arr.reduce((acc, val) => acc + val, 0);\nconsole.log(sum);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
MCQ,Easy,What is the time complexity of accessing an element in an array by its index?,,,,,,,,,,,,,,,,,,,,,,,,,,O(1),O(n),O(log n),O(n^2),O(1)
MCQ,Medium,Which of the following sorting algorithms has the best average case time complexity?,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Sort,Merge Sort,Quick Sort,Insertion Sort,Merge Sort
Short Answer,Hard,Explain the difference between INNER JOIN and LEFT JOIN in SQL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True/False,Easy,"In a multitasking operating system, multiple processes share CPU time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Short Answer,Medium,What is the main advantage of using WebSockets over HTTP for real-time communication?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coding,Hard,Write a Java program to reverse a linked list.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public ListNode reverseList(ListNode head) { ListNode prev = null; ListNode curr = head; while (curr != null) { ListNode nextTemp = curr.next; curr.next = prev; prev = curr; curr = nextTemp; } return prev; }
MCQ,Easy,What is the time complexity of finding the maximum element in an unsorted array?,,,,,,,,,,,,,,,,,,,,,,,,,,O(1),O(n),O(log n),O(n^2),O(n)
Short Answer,Medium,Explain the difference between a singly linked list and a doubly linked list.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coding,Hard,Write a function to rotate an array of integers by k positions to the right.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"def rotate_array(arr, k):\n    n = len(arr)\n    k = k % n\n    arr[:] = arr[-k:] + arr[:-k]"
MCQ,Medium,Which sorting algorithm is known for its stability?,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Sort,Merge Sort,Quick Sort,Insertion Sort,Merge Sort
MCQ,Easy,What is the time complexity of binary search on a sorted array?,,,,,,,,,,,,,,,,,,,,,,,,,,O(1),O(log n),O(n),O(n^2),O(log n)
Coding,Hard,Implement the quicksort algorithm in Python.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,def quicksort(arr):\n    if len(arr) <= 1:\n        return arr\n    pivot = arr[len(arr) // 2]\n    left = [x for x in arr if x < pivot]\n    middle = [x for x in arr if x == pivot]\n    right = [x for x in arr if x > pivot]\n    return quicksort(left) + middle + quicksort(right)
Short Answer,Medium,Explain the difference between a binary tree and a binary search tree (BST).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCQ,Hard,Which graph traversal algorithm guarantees to visit all vertices in a connected graph?,,,,,,,,,,,,,,,,,,,,,,,,,,Depth-First Search (DFS),Breadth-First Search (BFS),Dijkstra's Algorithm,Prim's Algorithm,Depth-First Search (DFS)
Coding,Easy,Write a function to check if a binary tree is balanced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"def is_balanced(root):\n    if not root:\n        return True\n    left_height = height(root.left)\n    right_height = height(root.right)\n    return abs(left_height - right_height) <= 1 and is_balanced(root.left) and is_balanced(root.right)\ndef height(node):\n    if not node:\n        return 0\n    return 1 + max(height(node.left), height(node.right))"
MCQ,Easy,What is the time complexity of finding the maximum element in an unsorted array?,,,,,,,,,,,,,,,,,,,,,,,,,,O(1),O(n),O(log n),O(n^2),O(n)
Short Answer,Medium,Explain the difference between a singly linked list and a doubly linked list.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coding,Hard,Write a function to rotate an array of integers by k positions to the right.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"def rotate_array(arr, k):\n    n = len(arr)\n    k = k % n\n    arr[:] = arr[-k:] + arr[:-k]"
Coding,Hard,Implement an algorithm to find the kth largest element in an array.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"import heapq\n\ndef kth_largest_element(arr, k):\n    return heapq.nlargest(k, arr)[-1]"
